Start,End,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
8:00 AM,8:30 AM,,,,,,,
8:30 AM,9:00 AM,,School,School,School,School,School,
9:00 AM,9:30 AM,,School,School,School,School,School,
9:30 AM,10:00 AM,,School,School,School,School,School,
10:00 AM,10:30 AM,,School,School,School,School,School,
10:30 AM,11:00 AM,,School,School,School,School,School,
11:00 AM,11:30 AM,,School,School,School,School,School,
11:30 AM,12:00 PM,Rai,Curiocity,School,School,School,School,
12:00 PM,12:30 PM,Rai,Curiocity,School,School,School,School,
12:30 PM,1:00 PM,,Curiocity,School,Curiocity,School,School,
1:00 PM,1:30 PM,,May 27 batch,School,Curiocity,School,School,
1:30 PM,2:00 PM,,May 27 batch,,May 27 batch,,,
2:00 PM,2:30 PM,,May 27 batch,,May 27 batch,,,
2:30 PM,3:00 PM,,,,May 27 batch,,,
3:00 PM,3:30 PM,,,,,,,
3:30 PM,4:00 PM,,,,,,Curiocity,
4:00 PM,4:30 PM,Mindmax,Curiocity,Mindmax,Curiocity,Mindmax,Curiocity,
4:30 PM,5:00 PM,Mindmax,Curiocity,Mindmax,Curiocity,Mindmax,Curiocity,
5:00 PM,5:30 PM,Mindmax,Curiocity,Mindmax,Curiocity,Mindmax,Curiocity,
5:30 PM,6:00 PM,Mindmax,,Mindmax,,Mindmax,,
6:00 PM,6:30 PM,Mindmax,Rai,Mindmax,,Mindmax,,
6:30 PM,7:00 PM,Mindmax,Rai,Mindmax,,Mindmax,,
7:00 PM,7:30 PM,,Rai,,,Rai,,
7:30 PM,8:00 PM,,,,,Rai,,
8:00 PM,8:30 PM,,Azmain,,Rai,Rai,,
8:30 PM,9:00 PM,,Azmain,,Rai,,,
9:00 PM,9:30 PM,,Azmain,,Rai,,,
9:30 PM,10:00 PM,,Azmain,,,,, 
10:00 PM,10:30 PM,Azmain,,,,,,
10:30 PM,11:00 PM,Azmain,,,,,,
11:00 PM,11:30 PM,Azmain,,,,,,
11:30 PM,12:00 AM,Azmain,,,,,,